"subjid","rownum","submission_date","expectedness","expectedness_qemo","expectedness_qlabel","pleasantness","pleasantness_qemo","pleasantness_qlabel","goal_consistency","goal_consistency_qemo","goal_consistency_qlabel","fairness","fairness_qemo","fairness_qlabel","agent_cause","agent_cause_qemo","agent_cause_qlabel","agent_intention","agent_intention_qemo","agent_intention_qlabel","self_cause","self_cause_qemo","self_cause_qlabel","close_others","close_others_qemo","close_others_qlabel","control","control_qemo","control_qlabel","altering","altering_qemo","altering_qlabel","moral","moral_qemo","moral_qlabel","selfesteem","selfesteem_qemo","selfesteem_qlabel","suddenness","suddenness_qemo","suddenness_qlabel","familiarity","familiarity_qemo","familiarity_qlabel","future","future_qemo","future_qlabel","past","past_qemo","past_qlabel","occurred","occurred_qemo","occurred_qlabel","certainty","certainty_qemo","certainty_qlabel","repetition","repetition_qemo","repetition_qlabel","coping","coping_qemo","coping_qlabel","mental_states","mental_states_qemo","mental_states_qlabel","others_knowledge","others_knowledge_qemo","others_knowledge_qlabel","bodily_disease","bodily_disease_qemo","bodily_disease_qlabel","people","people_qemo","people_qlabel","relevance","relevance_qemo","relevance_qlabel","freedom","freedom_qemo","freedom_qlabel","pressure","pressure_qemo","pressure_qlabel","consequences","consequences_qemo","consequences_qlabel","danger","danger_qemo","danger_qlabel","self_involvement","self_involvement_qemo","self_involvement_qlabel","main_character","main_character_qemo","main_character_qlabel","remember","remember_qemo","remember_qlabel","self_consistency","self_consistency_qemo","self_consistency_qlabel","relationship_influence","relationship_influence_qemo","relationship_influence_qlabel","agent_situation","agent_situation_qemo","agent_situation_qlabel","attention","attention_qemo","attention_qlabel","psychological_change","psychological_change_qemo","psychological_change_qlabel","safey","safey_qemo","safey_qlabel","knowledge_change","knowledge_change_qemo","knowledge_change_qlabel","emotion","emotion_qemo","emotion_qlabel","Guilty_extent","Content_extent","Lonely_extent","Excited_extent","Hopeful_extent","Devastated_extent","Proud_extent","Apprehensive_extent","Disgusted_extent","Embarrassed_extent","Jealous_extent","Joyful_extent","Impressed_extent","Grateful_extent","Terrified_extent","Furious_extent","Nostalgic_extent","Disappointed_extent","Annoyed_extent","Surprised_extent","Neutral_extent","city","country","age","gender","thoughts","response_noface","response_intune","response_nothought","response_needverbal","response_facevoice","response_surprised"
"Ndim21a_q001_01_862","10","NULL","1","Apprehensive","q12","8","Apprehensive","q12","8","Apprehensive","q12","8","Apprehensive","q12","1","Apprehensive","q12","7","Apprehensive","q12","6","Apprehensive","q12","2","Apprehensive","q12","3","Apprehensive","q12","6","Apprehensive","q12","2","Apprehensive","q12","0","Apprehensive","q12","1","Apprehensive","q12","0","Apprehensive","q12","9","Apprehensive","q12","8","Apprehensive","q12","10","Apprehensive","q12","1","Apprehensive","q12","4","Apprehensive","q12","3","Apprehensive","q12","6","Apprehensive","q12","8","Apprehensive","q12","5","Apprehensive","q12","9","Apprehensive","q12","2","Apprehensive","q12","5","Apprehensive","q12","3","Apprehensive","q12","8","Apprehensive","q12","3","Apprehensive","q12","7","Apprehensive","q12","9","Apprehensive","q12","8","Apprehensive","q12","2","Annoyed","q12","2","Apprehensive","q12","7","Apprehensive","q12","2","Apprehensive","q12","2","Apprehensive","q12","2","Apprehensive","q12","9","Apprehensive","q12","Apprehensive","NULL","NULL","4","7","7","8","7","9","2","4","7","1","7","3","3","2","2","2","5","2","7","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"Ndim21a_q001_01_862","9","NULL","3","Surprised","q115","2","Surprised","q115","6","Surprised","q115","7","Surprised","q115","1","Surprised","q115","1","Surprised","q115","6","Surprised","q115","6","Surprised","q115","4","Surprised","q115","3","Surprised","q115","8","Surprised","q115","3","Surprised","q115","7","Surprised","q115","5","Surprised","q115","7","Surprised","q115","8","Surprised","q115","9","Surprised","q115","1","Surprised","q115","5","Surprised","q115","5","Surprised","q115","3","Surprised","q115","5","Surprised","q115","2","Surprised","q115","2","Surprised","q115","2","Annoyed","q115","2","Surprised","q115","1","Surprised","q115","5","Surprised","q115","7","Surprised","q115","6","Surprised","q115","9","Surprised","q115","3","Surprised","q115","2","Surprised","q115","9","Surprised","q115","9","Surprised","q115","4","Surprised","q115","8","Surprised","q115","3","Surprised","q115","8","Surprised","q115","Surprised","NULL","NULL","4","0","6","6","3","7","4","7","1","2","1","2","7","7","3","2","7","3","8","7","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"Ndim21a_q001_01_862","8","NULL","2","Impressed","q167","4","Impressed","q167","2","Impressed","q167","1","Impressed","q167","1","Impressed","q167","6","Impressed","q167","7","Impressed","q167","8","Impressed","q167","2","Annoyed","q167","3","Impressed","q167","8","Impressed","q167","2","Impressed","q167","5","Impressed","q167","6","Impressed","q167","4","Impressed","q167","8","Impressed","q167","7","Impressed","q167","8","Impressed","q167","7","Impressed","q167","7","Impressed","q167","7","Impressed","q167","2","Impressed","q167","1","Impressed","q167","7","Impressed","q167","3","Impressed","q167","2","Impressed","q167","3","Impressed","q167","3","Impressed","q167","7","Impressed","q167","1","Impressed","q167","10","Impressed","q167","3","Impressed","q167","2","Impressed","q167","8","Impressed","q167","2","Impressed","q167","7","Impressed","q167","9","Impressed","q167","3","Impressed","q167","8","Impressed","q167","Impressed","NULL","NULL","3","2","1","5","8","3","4","1","6","7","4","8","1","8","6","2","7","3","9","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"Ndim21a_q001_01_862","6","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"Ndim21a_q001_01_862","7","NULL","6","Annoyed","q1","5","Annoyed","q1","2","Annoyed","q1","1","Annoyed","q1","7","Annoyed","q1","6","Annoyed","q1","2","Annoyed","q1","2","Annoyed","q1","7","Annoyed","q1","1","Annoyed","q1","2","Annoyed","q1","4","Annoyed","q1","8","Annoyed","q1","7","Annoyed","q1","2","Annoyed","q1","2","Annoyed","q1","3","Annoyed","q1","7","Annoyed","q1","3","Annoyed","q1","8","Annoyed","q1","9","Annoyed","q1","9","Annoyed","q1","3","Annoyed","q1","8","Annoyed","q1","3","Annoyed","q1","7","Annoyed","q1","2","Annoyed","q1","8","Annoyed","q1","8","Annoyed","q1","8","Annoyed","q1","2","Annoyed","q1","8","Annoyed","q1","7","Annoyed","q1","9","Annoyed","q1","1","Annoyed","q1","2","Annoyed","q1","4","Annoyed","q1","9","Annoyed","q1","1","Annoyed","q1","Annoyed","NULL","NULL","8","9","7","6","0","4","7","1","4","2","7","3","4","2","3","2","1","2","8","4","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"Ndim21a_q001_01_862","11","NULL","1","Content","q121","2","Content","q121","1","Content","q121","1","Content","q121","2","Content","q121","4","Content","q121","6","Content","q121","2","Content","q121","9","Content","q121","5","Content","q121","3","Content","q121","8","Content","q121","7","Content","q121","0","Content","q121","3","Content","q121","1","Content","q121","9","Content","q121","2","Content","q121","4","Annoyed","q121","6","Content","q121","3","Content","q121","5","Content","q121","8","Content","q121","3","Content","q121","8","Content","q121","5","Content","q121","8","Content","q121","2","Content","q121","1","Content","q121","3","Content","q121","9","Content","q121","3","Content","q121","7","Content","q121","5","Content","q121","9","Content","q121","2","Content","q121","5","Content","q121","5","Content","q121","9","Content","q121","Content","NULL","NULL","8","1","8","2","4","8","9","7","1","3","7","8","3","0","9","3","4","4","8","6","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"Ndim21a_q002_01_329","12","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","Annoyed","q1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Annoyed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"Ndim21a_q001_01_862","13","NULL","0","Disgusted","q50","7","Disgusted","q50","3","Disgusted","q50","5","Disgusted","q50","5","Disgusted","q50","3","Disgusted","q50","1","Disgusted","q50","7","Disgusted","q50","2","Disgusted","q50","2","Disgusted","q50","1","Disgusted","q50","1","Disgusted","q50","7","Disgusted","q50","8","Disgusted","q50","9","Disgusted","q50","2","Disgusted","q50","8","Disgusted","q50","8","Disgusted","q50","1","Disgusted","q50","8","Disgusted","q50","2","Disgusted","q50","8","Disgusted","q50","1","Disgusted","q50","8","Disgusted","q50","5","Disgusted","q50","2","Annoyed","q50","8","Disgusted","q50","3","Disgusted","q50","8","Disgusted","q50","3","Disgusted","q50","3","Disgusted","q50","3","Disgusted","q50","2","Disgusted","q50","3","Disgusted","q50","10","Disgusted","q50","3","Disgusted","q50","8","Disgusted","q50","1","Disgusted","q50","8","Disgusted","q50","Disgusted","NULL","NULL","6","2","2","1","8","3","8","1","1","3","3","1","6","8","8","2","3","3","9","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"Ndim21a_q001_01_862","14","NULL","2","Terrified","q103","6","Terrified","q103","8","Terrified","q103","7","Terrified","q103","5","Terrified","q103","1","Terrified","q103","2","Terrified","q103","9","Terrified","q103","4","Terrified","q103","1","Terrified","q103","9","Terrified","q103","4","Terrified","q103","5","Terrified","q103","3","Terrified","q103","9","Terrified","q103","1","Annoyed","q103","5","Terrified","q103","5","Terrified","q103","5","Terrified","q103","2","Terrified","q103","8","Terrified","q103","8","Terrified","q103","6","Terrified","q103","5","Terrified","q103","2","Terrified","q103","5","Terrified","q103","8","Terrified","q103","9","Terrified","q103","2","Terrified","q103","3","Terrified","q103","5","Terrified","q103","9","Terrified","q103","2","Terrified","q103","7","Terrified","q103","3","Terrified","q103","2","Terrified","q103","8","Terrified","q103","1","Terrified","q103","3","Terrified","q103","Terrified","NULL","NULL","8","3","0","3","3","1","9","9","0","9","1","8","2","1","7","3","7","3","7","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"Ndim21a_q001_01_862","15","NULL","5","Proud","q192","3","Proud","q192","3","Proud","q192","0","Proud","q192","1","Proud","q192","2","Annoyed","q192","7","Proud","q192","4","Proud","q192","8","Proud","q192","2","Proud","q192","2","Proud","q192","4","Proud","q192","3","Proud","q192","7","Proud","q192","8","Proud","q192","3","Proud","q192","4","Proud","q192","7","Proud","q192","9","Proud","q192","5","Proud","q192","1","Proud","q192","7","Proud","q192","1","Proud","q192","3","Proud","q192","7","Proud","q192","6","Proud","q192","8","Proud","q192","7","Proud","q192","8","Proud","q192","7","Proud","q192","3","Proud","q192","4","Proud","q192","2","Proud","q192","9","Proud","q192","3","Proud","q192","1","Proud","q192","9","Proud","q192","2","Proud","q192","5","Proud","q192","Proud","NULL","NULL","8","8","2","7","2","9","2","3","3","7","5","8","5","4","0","1","7","3","1","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
